GRADUATION_YEAR;SCORE_NEM;GRADE_PERCENTILE;SCORE_RANKING;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
1979;695;2;725;0.0;1;1;3;9;8;8;1;0;0;0;0
2020;616;1;684;354.0;1;1;1;3;1;1;0;0;0;1;1
2019;754;1;850;613.5;1;1;1;6;11;11;0;0;1;1;1
2020;722;1;850;340.0;2;1;2;4;5;6;0;0;1;0;0
2020;743;1;850;473.0;2;1;1;1;1;1;0;0;1;0;0
1993;391;8;391;547.0;2;1;1;3;7;7;0;0;0;0;0
1992;375;10;384;0.0;2;1;1;1;4;8;0;0;0;1;0
1981;792;1;811;676.0;1;1;2;10;11;11;1;0;1;1;1
2004;371;8;352;518.0;2;1;1;5;5;5;1;1;0;1;0
1993;426;9;426;0.0;2;2;1;4;6;6;1;0;1;1;1
2020;711;2;824;392.0;1;1;1;2;5;1;0;0;0;1;0
1994;483;7;483;448.5;2;1;1;5;6;6;0;0;0;1;0
2020;584;1;627;0.0;2;1;1;5;1;2;0;0;1;0;1
2020;417;9;417;380.5;1;2;1;5;7;7;0;1;0;1;0
2020;535;3;535;358.5;2;1;1;9;7;10;0;0;0;0;0
2020;732;1;850;310.0;2;1;2;7;4;4;0;0;0;0;1
2020;775;1;850;323.5;2;1;1;8;1;1;0;0;1;1;1
2020;467;6;495;207.0;1;1;1;5;2;2;0;1;0;0;1
2020;548;4;548;297.0;2;1;1;2;2;2;0;0;1;0;0
2020;807;1;850;332.5;2;1;1;7;5;5;0;0;0;0;0
2020;464;9;464;280.5;1;1;1;1;7;7;0;0;0;0;1
2020;582;2;677;0.0;1;1;1;1;7;7;0;1;1;0;0
1978;678;4;682;0.0;2;1;1;10;1;1;1;0;1;0;0
2020;807;1;850;425.0;1;1;2;3;4;4;1;0;1;1;1
2020;679;2;699;360.5;2;1;1;5;1;5;0;0;1;0;0
1981;469;8;469;516.5;1;1;1;3;4;1;1;1;0;1;0
1980;609;3;609;468.0;1;1;1;3;4;4;0;0;1;1;0
1978;559;4;559;0.0;2;3;1;9;6;6;1;0;1;1;1
1987;571;3;588;496.5;2;1;1;2;4;4;1;1;1;0;0
2020;689;1;738;412.0;2;1;1;4;5;5;0;1;0;1;0
2020;616;2;640;0.0;2;1;1;1;1;5;0;0;0;1;1
2020;626;1;651;359.0;1;1;1;1;7;7;0;0;0;0;0
2020;584;1;647;0.0;2;1;1;6;1;1;0;0;0;1;1
1982;641;7;637;0.0;2;1;1;10;6;6;1;0;1;1;1
2020;775;1;850;473.0;1;1;1;7;5;1;0;1;0;1;0
2020;562;4;562;319.0;1;1;1;1;7;7;0;0;0;0;1
1979;743;1;850;601.0;2;1;1;5;4;4;1;0;1;0;1
2020;510;1;609;0.0;1;1;1;7;5;5;0;0;0;0;1
1988;573;4;575;537.0;1;1;1;4;5;6;0;0;0;0;1
2020;700;1;833;215.0;2;1;1;8;7;7;0;0;0;1;1
1982;483;8;483;475.5;2;1;1;1;4;7;0;0;0;1;0
2020;669;2;692;0.0;2;1;2;2;1;1;0;0;0;1;0
2020;590;3;641;322.0;2;1;1;3;1;1;0;0;1;0;0
