GRADUATION_YEAR;SCORE_NEM;GRADE_PERCENTILE;SCORE_RANKING;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
2020;490;10;490;435.5;1;1;1;2;7;10;0;0;1;0;1
2020;504;7;504;0.0;2;1;1;2;8;7;0;1;1;0;1
2020;485;7;517;0.0;2;1;1;4;4;7;0;1;1;0;0
2020;613;4;619;553.0;1;1;2;2;10;11;0;0;0;0;0
2020;636;3;850;519.0;2;1;1;4;7;7;0;1;0;0;0
2020;566;7;566;447.0;2;1;3;8;10;10;0;0;1;0;0
2020;760;1;847;590.0;2;1;1;5;7;7;0;0;1;0;0
2020;614;3;659;0.0;1;2;2;1;7;5;0;1;1;0;1
2020;689;1;713;501.5;1;1;1;2;5;5;0;0;0;0;0
2020;679;3;735;470.5;1;1;1;4;8;1;0;1;1;0;0
2020;467;4;467;0.0;1;1;1;1;5;7;0;0;0;0;0
2020;555;5;560;490.0;1;1;1;2;7;7;0;0;1;0;1
2020;689;3;724;659.5;1;1;2;9;10;11;0;0;1;0;0
2020;732;3;753;637.5;1;1;1;9;9;9;0;0;1;0;0
2020;695;5;705;467.0;2;1;3;10;8;11;0;0;1;0;1
2020;749;2;779;637.0;1;1;1;6;7;7;0;0;0;0;0
2020;582;5;608;438.0;1;1;1;2;8;8;0;1;1;0;0
2020;706;2;751;653.5;1;1;1;9;11;7;0;0;1;0;0
2020;786;1;810;550.0;1;1;1;4;9;9;0;0;1;0;0
2020;587;6;587;330.5;1;1;1;1;7;7;0;0;1;0;1
2020;754;1;850;571.5;1;1;1;8;7;5;0;1;1;0;1
2020;667;3;696;585.0;1;1;1;5;6;10;0;0;0;0;1
2020;663;1;817;585.0;1;1;2;2;9;8;0;0;1;0;0
2020;652;5;677;494.5;1;1;1;3;9;7;0;0;1;0;1
2020;656;3;679;438.0;2;1;1;3;5;7;0;0;1;0;0
2020;706;2;850;497.0;2;1;1;3;11;7;0;0;1;0;0
2020;699;5;716;497.5;1;1;1;1;10;11;0;0;1;0;1
2020;684;4;723;642.0;1;2;1;10;10;12;0;0;1;0;1
2020;495;7;495;496.5;1;1;1;4;9;9;0;0;1;0;1
2020;771;1;841;509.5;2;1;1;4;9;6;0;0;1;0;0
2020;394;10;394;432.5;2;1;1;6;9;9;0;1;1;0;1
2020;695;3;726;634.5;2;1;1;4;9;7;0;0;1;0;0
2020;566;10;566;535.0;1;2;2;9;10;12;0;0;1;0;0
2020;605;1;624;0.0;2;1;1;2;8;7;0;0;1;0;1
2020;613;3;645;364.5;1;1;1;2;7;7;0;0;1;0;0
2020;781;1;792;693.0;1;1;1;2;9;7;0;0;0;0;1
2020;598;7;601;640.0;1;1;1;4;11;7;0;0;1;0;0
2020;384;10;384;467.5;1;1;1;8;10;10;0;0;1;0;0
2020;717;1;819;554.5;2;2;1;6;9;10;0;0;0;0;0
2020;598;6;600;326.5;1;1;1;1;5;7;0;0;1;0;1
2020;589;4;658;326.0;2;1;1;8;7;7;0;1;0;0;0
2020;581;8;581;614.5;1;1;1;9;7;7;0;0;1;0;0
2020;421;10;421;448.5;2;1;1;3;7;10;0;0;1;0;0
2020;485;6;485;460.5;1;2;1;2;7;7;0;1;0;0;0
2020;786;1;826;634.5;2;1;1;3;10;11;0;0;1;0;0
2020;717;2;752;568.0;2;1;1;6;9;7;0;0;1;0;1
2020;501;9;501;430.5;2;1;1;4;4;1;0;0;1;0;0
2020;663;3;726;633.0;1;2;1;9;8;11;0;0;1;0;1
2020;781;2;819;683.5;1;2;2;10;11;12;0;0;1;0;1
2020;611;2;617;521.5;2;1;1;3;11;10;0;0;1;0;0
2020;641;5;646;566.5;2;1;1;6;11;7;0;0;1;0;0
2020;707;1;752;464.5;2;1;1;6;9;7;0;1;1;0;0
2020;743;3;768;565.5;2;2;1;3;5;9;0;0;0;0;0
2020;764;1;789;661.0;2;2;1;9;12;12;0;0;1;0;0
2020;391;10;391;0.0;1;1;1;3;8;8;0;0;1;0;0
2020;625;3;648;364.5;1;1;1;3;9;5;0;1;0;0;1
2020;699;5;711;597.5;2;1;1;2;8;8;0;0;1;0;1
2020;593;3;634;0.0;1;1;1;3;5;7;0;1;1;0;1
2020;528;8;528;465.0;1;1;1;2;7;7;0;0;1;0;0
2020;679;1;766;551.0;2;2;1;2;5;7;0;1;1;0;1
2020;710;3;728;600.0;2;1;1;1;7;7;0;0;1;0;0
2020;796;1;818;732.5;1;2;2;10;11;11;0;0;1;0;0
2020;589;6;593;432.5;2;2;1;8;7;5;0;1;1;0;1
2020;641;2;670;353.0;2;1;2;8;7;9;0;0;1;0;0
2020;664;4;715;467.5;2;1;1;2;5;6;0;1;0;0;0
2020;403;10;403;0.0;1;1;1;1;8;7;0;0;1;0;1
2020;685;3;787;0.0;2;1;1;1;7;5;0;1;1;0;1
2020;544;8;544;450.5;2;1;1;2;5;7;0;0;0;0;0
2020;721;1;850;502.5;2;2;2;9;7;10;0;0;1;0;0
2020;764;1;833;496.5;2;1;1;4;4;4;0;1;0;0;1
2020;517;10;517;0.0;2;1;1;3;7;7;0;0;1;0;0
2020;706;2;731;577.0;2;1;2;5;9;9;0;0;0;0;1
2020;603;9;606;543.5;1;2;1;10;11;11;0;0;1;0;0
2020;732;1;804;530.0;2;2;3;8;11;12;0;0;1;0;1
2020;439;8;439;364.0;2;2;1;4;7;7;0;1;1;0;0
2020;490;6;490;470.0;1;1;2;6;9;9;0;0;1;0;1
2020;646;6;647;502.5;2;1;1;6;11;7;0;0;0;0;1
2020;781;1;844;664.0;1;1;1;2;9;9;0;0;1;0;1
2020;732;2;772;621.5;2;1;1;4;7;7;0;0;1;0;0
2020;664;1;698;606.5;2;1;1;3;7;5;0;1;1;0;0
2020;506;7;506;492.5;1;2;1;3;7;7;0;0;1;0;0
2020;479;10;479;406.5;2;3;4;4;11;11;0;0;1;0;1
2020;642;1;754;547.0;2;1;2;2;5;5;0;1;0;0;0
2020;528;7;528;489.0;2;1;1;6;7;10;0;0;0;0;0
2020;451;8;451;353.0;2;1;1;3;9;9;0;1;1;0;0
2020;462;7;462;0.0;1;1;1;1;5;7;0;1;0;0;0
2020;559;7;561;388.0;1;1;1;10;12;10;0;0;1;0;0
2020;663;2;698;573.5;1;1;1;5;11;9;0;0;1;0;1
2020;796;2;825;607.5;2;1;1;10;4;4;0;0;1;0;1
2020;652;3;670;475.5;1;1;1;9;11;7;0;0;1;0;0
2020;657;2;791;447.5;1;1;1;4;7;7;0;1;0;0;0
2020;717;2;761;379.0;2;1;2;4;9;5;0;0;0;0;1
2020;515;6;527;0.0;2;1;1;8;7;7;0;1;0;0;0
2020;375;10;375;393.0;1;1;1;1;7;7;0;0;1;0;0
2020;549;7;562;485.0;2;1;1;9;4;4;0;0;1;0;0
2020;581;6;609;537.5;2;1;1;8;10;10;0;0;1;0;1
2020;717;3;746;659.5;1;2;1;8;12;10;0;0;1;0;1
2020;786;2;804;679.0;2;1;1;5;8;9;0;0;1;0;0
2020;549;8;549;493.0;1;2;1;8;12;12;0;0;1;0;0
2020;656;3;695;589.0;2;1;2;1;9;7;0;0;0;0;0
2020;764;1;802;680.0;2;2;2;7;11;11;0;0;1;0;1
2020;738;2;784;568.0;2;1;1;3;9;9;0;0;1;0;0
2020;631;4;636;658.0;2;1;1;6;11;11;0;0;1;0;1
2020;646;7;651;577.0;2;1;2;10;11;11;0;0;1;0;0
2020;581;4;589;564.5;2;1;1;3;8;10;0;0;1;0;1
2020;535;3;535;369.0;1;1;1;3;5;9;0;0;1;0;1
2020;517;5;535;485.5;1;1;1;9;7;8;0;0;1;0;1
2020;570;5;595;449.5;2;1;1;4;9;11;0;0;1;0;0
2020;460;10;460;358.0;1;1;2;3;7;9;0;0;1;0;0
2020;624;2;703;368.5;2;1;2;4;7;11;0;0;0;0;0
2020;664;1;746;447.5;2;2;1;1;7;5;0;1;0;0;1
2020;556;3;575;0.0;2;1;1;2;5;5;0;1;0;0;0
2020;472;9;472;487.0;1;1;1;6;10;9;0;0;1;0;0
2020;743;2;818;638.5;1;2;1;7;11;11;0;0;0;0;0
2020;561;3;590;370.5;1;2;1;3;4;4;0;1;0;0;0
2020;727;2;785;517.5;1;1;1;3;7;7;0;0;0;0;0
2020;504;6;505;537.0;1;1;1;1;6;6;0;1;0;0;0
2020;749;2;790;642.5;1;1;1;7;9;10;0;0;1;0;0
2020;656;4;679;520.0;1;1;1;5;7;7;0;0;1;0;0
2020;749;1;807;654.5;1;1;1;4;9;7;0;1;1;0;0
2020;636;1;683;0.0;2;1;1;6;10;5;0;1;1;0;0
2020;525;5;525;337.0;1;1;1;2;7;7;0;1;0;0;0
2020;469;7;469;277.0;2;1;1;4;5;5;0;1;0;0;1
2020;646;2;685;404.5;1;1;1;1;4;2;0;0;0;0;0
2020;646;5;668;407.5;1;1;1;3;9;7;0;0;1;0;1
2020;593;6;594;388.0;1;1;1;5;9;7;0;1;0;0;0
2020;710;5;721;516.5;2;3;3;10;11;12;0;0;1;0;0
2020;764;1;817;515.5;2;1;1;9;9;9;0;0;1;0;1
2020;624;5;643;410.0;2;1;1;2;9;7;0;0;1;0;1
2020;642;2;695;404.0;2;2;1;9;10;7;0;1;1;0;0
2020;732;2;747;559.5;2;2;1;2;11;11;0;0;1;0;0
2020;483;10;483;489.5;2;1;1;4;11;7;0;0;1;0;1
2020;652;6;687;483.5;2;1;2;10;10;8;0;0;1;0;1
2020;764;3;780;693.5;1;2;3;10;12;12;0;0;1;0;1
2020;674;4;703;604.0;2;1;1;7;11;10;0;0;1;0;1
2020;710;4;719;434.0;2;1;1;4;10;7;0;0;0;0;1
2020;620;7;620;464.5;1;1;1;3;9;8;0;0;0;1;1
2020;444;10;444;541.0;1;1;1;5;7;7;0;0;1;0;1
2020;513;10;513;472.0;1;1;1;3;8;7;0;0;1;0;1
2020;451;8;504;0.0;1;1;1;1;7;5;0;1;1;0;0
2020;598;10;598;551.5;1;3;2;10;12;12;0;0;1;0;1
2020;706;5;723;579.5;2;1;1;7;7;7;0;0;1;0;1
2020;517;7;517;516.5;2;1;1;2;11;11;0;0;1;0;1
2020;689;9;689;409.0;2;1;1;9;12;11;0;0;1;0;0
2020;456;9;456;420.5;2;1;1;6;7;5;0;0;1;0;1
2020;657;1;829;408.0;2;1;1;3;9;7;0;1;1;0;0
2020;371;7;371;0.0;1;1;1;3;7;7;0;1;0;0;0
2020;549;6;554;322.5;2;1;1;1;5;5;0;0;0;0;0
2020;674;5;694;537.5;2;1;1;3;8;7;0;0;1;0;1
2020;620;7;622;640.0;1;2;1;8;12;12;0;0;1;0;0
2020;513;9;561;537.0;2;1;1;4;8;6;0;0;0;0;0
2020;803;1;850;647.5;2;1;1;6;9;9;0;0;0;0;1
2020;786;1;832;575.0;1;1;1;2;5;10;0;0;0;0;1
2020;412;10;412;433.0;1;1;1;7;11;8;0;1;1;0;0
2020;421;10;421;432.0;1;1;1;8;7;5;0;0;0;0;0
2020;620;6;622;580.0;1;1;1;1;7;1;0;0;1;0;0
2020;840;1;850;739.0;1;2;1;10;12;12;0;0;1;0;0
2020;727;5;751;583.0;1;1;1;8;11;11;0;0;1;0;0
2020;361;8;361;297.0;1;2;1;9;4;4;0;0;1;0;1
2020;544;8;544;472.0;1;1;1;7;7;5;0;0;1;0;0
2020;599;6;621;395.0;2;1;1;3;10;7;0;1;0;0;0
2020;656;5;659;658.0;1;1;1;6;9;7;0;0;0;0;1
2020;501;8;501;348.0;2;1;2;5;7;7;0;0;1;0;1
2020;451;6;451;457.0;1;2;2;2;4;4;0;1;1;0;1
2020;786;1;848;696.5;2;1;1;3;10;12;0;0;1;0;1
2020;695;3;705;470.0;2;1;2;3;7;9;0;0;1;0;0
2020;559;9;559;430.5;1;1;1;10;8;11;0;0;1;0;0
2020;571;2;674;401.0;2;1;1;1;7;5;0;1;0;0;0
2020;592;5;610;590.0;1;1;1;4;7;5;0;0;0;0;0
2020;451;8;451;503.0;1;1;1;9;5;5;0;1;1;0;0
2020;598;6;598;446.0;2;1;1;6;10;7;0;0;1;0;0
2020;678;3;794;461.5;2;1;1;3;8;7;0;0;1;0;0
2020;656;5;671;591.0;1;1;1;6;7;11;0;0;1;0;1
2020;555;9;555;716.5;1;2;1;10;11;11;0;0;1;0;0
2020;613;9;613;472.5;1;1;2;3;7;7;0;0;0;0;0
2020;544;8;544;0.0;2;1;1;3;4;4;0;0;1;0;1
2020;474;6;498;0.0;2;2;1;7;2;5;0;1;0;0;1
2020;506;7;552;666.0;1;1;1;3;7;11;0;0;1;0;0
2020;410;10;410;437.5;1;1;1;4;5;7;0;0;1;0;0
2020;613;3;626;514.5;1;1;1;3;7;7;0;0;1;0;1
2020;323;10;323;358.0;1;1;1;5;10;7;0;0;1;0;0
2020;646;2;702;694.0;2;1;1;3;10;11;0;0;1;0;1
2020;577;6;591;449.5;2;1;2;5;9;7;0;0;1;0;1
2020;717;1;808;419.0;2;1;2;1;7;7;0;1;1;0;0
2020;501;9;501;503.0;2;2;1;6;11;11;0;0;1;0;1
2020;684;3;718;556.5;1;2;1;10;7;7;0;0;1;0;0
2020;624;4;630;563.0;2;2;1;7;9;7;0;0;1;0;0
2020;699;2;794;568.0;2;1;2;4;7;11;0;0;1;0;1
2020;656;2;711;524.5;2;1;1;5;5;7;0;0;1;0;0
2020;792;1;850;602.0;1;1;1;2;9;9;0;1;1;0;0
2020;469;8;469;329.0;2;2;1;3;7;5;0;1;0;0;0
2020;437;10;437;0.0;1;1;1;9;9;10;0;0;0;0;1
2020;417;9;417;257.5;1;1;1;3;8;8;0;1;1;0;0
2020;656;3;690;554.0;2;1;1;2;9;9;0;0;1;0;1
2020;581;8;581;628.5;1;1;1;2;11;12;0;0;1;0;0
2020;589;2;614;483.5;1;1;1;1;7;7;0;1;1;0;0
2020;517;8;520;404.5;2;2;1;8;7;7;0;0;1;0;1
2020;592;6;598;565.0;1;1;1;4;10;11;0;0;1;0;1
2020;732;1;782;545.5;1;2;1;8;7;9;0;0;1;0;0
2020;544;8;547;427.0;1;1;1;5;8;9;0;0;1;0;0
2020;609;5;621;0.0;2;2;1;3;7;11;0;0;1;0;0
2020;631;3;690;503.0;2;1;1;1;5;5;0;0;0;0;1
2020;538;7;558;409.0;1;2;1;6;7;7;0;0;1;0;1
2020;796;1;850;659.0;2;1;1;10;11;6;0;0;1;0;1
2020;577;6;577;574.5;1;1;1;7;7;7;0;0;0;0;0
2020;495;10;495;497.0;2;1;1;8;7;12;0;0;1;0;1
2020;492;6;499;0.0;1;1;1;1;9;10;0;1;0;1;0
2020;467;10;467;456.0;2;1;1;1;7;7;0;0;0;0;0
2020;603;2;644;405.0;2;1;1;1;9;5;0;0;0;0;0
2020;476;7;476;473.0;1;2;1;9;11;5;0;0;1;0;1
2020;624;3;633;404.5;2;1;1;5;7;7;0;0;1;0;0
2020;753;1;808;662.5;1;2;1;9;11;12;0;0;0;0;1
2020;656;3;715;512.5;2;1;1;7;10;10;0;0;1;0;0
2020;760;3;814;525.0;2;1;1;10;11;9;0;0;1;0;1
2020;641;3;718;592.5;1;1;2;6;7;7;0;0;1;0;0
2020;592;5;606;557.5;1;1;1;7;10;11;0;0;0;0;1
2020;549;6;549;379.0;2;1;1;3;7;7;0;0;0;0;1
2020;685;2;741;583.5;1;2;1;6;5;4;0;1;1;0;1
2020;513;9;513;384.5;1;1;1;1;10;8;0;0;1;0;1
2020;631;5;681;522.5;2;1;1;1;7;7;0;0;0;0;0
2020;517;8;517;363.5;2;1;1;1;7;7;0;0;0;0;1
2020;781;1;850;606.0;2;1;2;6;10;7;0;0;0;0;1
2020;566;4;640;437.0;2;1;1;2;5;7;0;0;1;0;0
2020;538;6;543;0.0;1;1;1;1;7;1;0;0;1;0;0
2020;515;5;515;384.0;2;1;1;2;5;7;0;1;0;0;0
2020;753;2;794;705.5;1;1;1;6;10;10;0;0;1;0;1
2020;417;9;417;0.0;2;1;1;5;8;7;0;1;0;0;0
2020;760;1;850;447.5;2;2;1;8;5;5;0;0;0;0;1
2020;684;3;731;419.5;2;1;2;4;10;7;0;0;1;0;0
2020;538;7;538;0.0;2;1;1;5;7;7;0;0;1;0;0
2020;559;5;569;507.5;1;1;1;4;10;11;0;0;1;0;1
2020;635;6;640;522.5;1;1;1;5;7;9;0;0;1;0;1
2020;652;6;687;547.5;1;1;1;8;8;11;0;0;1;0;1
2020;587;5;623;473.0;2;1;1;3;7;7;0;0;0;0;0
2020;483;7;483;0.0;1;2;1;8;5;5;0;0;1;0;1
2020;689;2;780;576.0;2;1;1;7;9;7;0;0;1;0;0
2020;517;9;517;0.0;2;1;1;7;11;7;0;0;1;0;1
2020;641;6;651;467.5;2;2;1;9;12;10;0;0;1;0;1
2020;571;5;583;0.0;2;1;1;2;9;7;0;1;0;0;0
2020;786;1;835;492.5;2;1;1;5;10;10;0;0;0;0;1
2020;624;7;629;607.5;1;1;3;7;10;11;0;0;1;0;0
2020;535;4;552;0.0;2;1;1;1;4;4;0;1;1;0;0
2020;621;2;668;576.0;2;1;2;1;8;8;0;1;0;0;0
2020;635;4;643;566.0;2;1;1;3;11;5;0;0;1;0;0
2020;807;2;821;715.0;2;1;4;10;11;12;0;0;1;0;1
2020;534;4;550;440.5;1;1;1;8;9;11;0;0;0;0;1
2020;581;8;581;561.0;2;1;1;10;11;12;0;0;1;0;0
2020;578;3;591;559.5;1;1;1;1;6;6;0;1;1;0;0
2020;501;6;511;0.0;1;1;1;3;7;7;0;0;1;0;0
2020;646;2;694;487.0;2;1;1;3;7;9;0;0;1;0;0
2020;727;2;773;639.0;1;1;1;7;9;9;0;0;1;0;1
2020;689;1;731;569.0;2;1;1;8;9;11;0;0;0;0;1
2020;732;4;739;491.0;2;1;1;5;11;9;0;0;0;0;0
2020;603;5;614;417.5;2;1;1;6;5;5;0;0;1;0;0
2020;439;8;439;482.0;1;2;1;3;11;8;0;1;1;1;1
2020;689;4;707;482.0;2;1;1;8;10;9;0;0;0;0;0
2020;656;7;656;419.5;1;1;1;5;8;7;0;0;0;0;1
2020;656;6;660;564.0;2;1;2;9;11;10;0;0;1;0;0
2020;481;7;481;473.0;2;1;1;3;5;5;0;1;0;0;0
2020;674;8;682;600.5;2;1;1;8;11;11;0;0;1;0;0
2020;775;1;833;575.5;2;1;1;9;10;7;0;0;1;0;0
2020;674;1;714;492.5;2;1;1;2;10;10;0;1;0;0;0
2020;760;2;810;570.5;2;1;1;3;9;7;0;0;1;0;1
2020;635;3;669;492.0;1;2;1;9;10;10;0;0;0;0;0
2020;721;4;727;542.5;2;1;1;10;9;11;0;0;1;0;0
2020;689;2;808;387.5;2;1;1;1;1;7;0;1;0;0;0
2020;621;3;677;447.5;2;1;1;2;7;7;0;1;1;0;1
2020;523;7;530;411.5;2;1;1;2;5;6;0;0;1;0;1
2020;657;2;685;368.5;2;2;1;3;7;7;0;1;1;0;0
2020;710;1;850;522.0;1;1;1;1;8;7;0;0;0;0;1
2020;695;2;746;524.5;1;1;1;7;10;7;0;0;1;0;1
2020;753;3;784;549.5;2;1;1;2;7;7;0;0;0;0;0
2020;451;10;451;360.5;2;1;1;5;5;5;0;1;1;0;0
2020;695;3;711;544.5;2;1;1;2;10;9;0;0;1;0;1
2020;796;1;809;703.5;1;1;1;2;9;5;0;0;0;0;1
2020;781;2;801;708.5;1;1;1;10;8;11;0;0;1;0;1
2020;753;3;771;409.0;2;1;1;4;7;9;0;0;0;0;1
2020;428;9;428;387.5;2;2;1;1;9;7;0;1;1;1;0
2020;517;8;529;537.0;1;1;1;1;7;7;0;0;0;0;1
2020;699;4;719;440.5;2;1;1;2;7;7;0;0;1;0;1
2020;764;2;791;618.5;1;2;1;10;11;11;0;0;1;0;0
2020;796;1;821;704.0;2;2;1;9;11;11;0;0;1;0;1
2020;620;8;620;509.5;1;2;1;9;11;12;0;0;1;0;1
2020;710;2;731;584.0;1;2;2;6;11;11;0;0;1;0;0
2020;561;5;570;475.0;1;2;1;6;10;11;0;1;1;0;0
2020;592;8;592;624.0;1;1;1;1;9;11;0;0;0;0;1
2020;566;4;580;383.0;2;2;2;2;7;11;0;0;0;0;1
2020;631;5;641;562.5;2;2;1;9;11;10;0;0;0;0;0
2020;538;6;538;426.0;1;1;1;2;7;6;0;0;1;0;0
2020;412;8;412;415.0;1;1;1;7;9;9;0;1;1;0;1
2020;706;5;723;710.0;1;1;1;5;10;7;0;0;1;0;1
2020;824;1;850;750.5;1;2;1;10;12;12;0;0;1;0;1
2020;534;8;534;527.0;1;1;1;7;7;7;0;0;1;0;1
2019;635;4;641;551.5;1;1;2;1;7;7;0;0;0;0;0
2020;656;5;700;502.5;2;2;1;4;11;7;0;0;1;0;1
2020;534;5;535;581.0;1;1;1;9;7;8;0;0;1;0;1
2020;771;2;783;646.5;2;1;2;7;11;7;0;0;1;0;0
2020;652;5;678;548.0;1;2;1;4;7;9;0;0;1;0;1
2020;667;3;692;541.5;2;1;1;1;7;7;0;0;1;0;0
2020;555;6;577;573.5;1;1;1;7;10;11;0;0;1;0;1
2020;504;6;507;371.5;1;1;1;2;7;7;0;1;0;0;1
2020;727;7;738;598.0;1;1;2;10;12;12;0;0;1;0;1
2020;566;6;573;535.5;1;1;1;5;6;6;0;0;1;0;1
2020;561;6;594;412.5;1;2;1;8;5;5;0;1;1;0;0
2020;550;5;550;372.0;2;1;1;1;7;7;0;1;0;0;0
2020;699;7;701;634.5;2;2;1;10;11;11;0;0;1;0;0
2020;525;7;525;532.5;1;2;1;6;10;11;0;1;1;0;0
2020;678;5;680;415.0;2;1;1;3;7;9;0;0;0;0;0
2020;550;5;561;487.5;1;1;1;6;9;7;0;1;1;0;0
2020;492;5;492;374.5;2;1;1;2;5;5;0;1;1;0;1
2020;603;5;603;394.0;1;1;1;3;10;7;0;0;1;0;0
2020;624;4;646;506.0;2;1;1;8;11;11;0;0;1;0;0
2020;732;6;736;644.5;1;1;1;5;11;11;0;0;1;0;0
2020;490;7;490;0.0;2;1;1;3;7;5;0;0;1;0;1
2020;728;1;796;590.5;2;1;2;1;5;5;0;1;1;0;0
2020;517;7;517;0.0;1;1;1;8;11;11;0;0;1;0;0
2020;592;5;607;512.0;1;1;1;9;7;11;0;0;0;0;0
2020;603;9;603;603.0;1;1;1;6;10;8;0;0;0;0;1
2020;624;6;635;487.0;1;1;1;5;8;7;0;0;1;0;0
2020;525;7;526;442.0;2;1;1;1;5;7;0;1;0;0;0
2020;508;7;508;430.5;1;2;1;1;7;7;0;1;0;0;0
2020;603;6;647;547.5;2;2;1;10;10;11;0;0;1;0;0
2020;566;8;566;542.0;1;2;2;10;11;12;0;0;1;0;1
2020;490;8;490;430.5;1;2;1;4;7;7;0;0;0;0;0
2020;631;5;642;485.0;2;1;1;4;9;5;0;0;1;0;1
2020;635;4;665;519.5;1;1;1;2;11;11;0;0;1;0;0
2020;423;9;423;347.5;1;1;1;4;7;5;0;1;0;0;1
2020;656;3;676;552.0;2;1;1;8;7;7;0;0;0;0;0
2020;581;4;593;406.5;1;2;2;5;10;4;0;0;0;0;0
2020;485;10;485;483.5;1;1;1;4;9;6;0;1;0;0;0
2020;460;10;460;542.5;1;1;1;3;7;7;0;0;1;0;1
2020;566;8;566;444.0;1;1;1;2;7;8;0;0;0;0;0
2020;706;2;733;551.5;2;1;1;4;10;7;0;0;1;0;0
2020;753;1;794;629.0;2;2;1;1;5;8;0;0;0;0;0
2020;609;4;662;502.5;1;1;1;1;8;7;0;0;1;0;1
2020;732;2;751;551.5;2;1;1;2;7;7;0;0;0;0;1
2020;469;5;469;460.0;2;1;2;3;7;7;0;1;1;0;1
2020;559;8;559;470.0;1;1;1;4;10;7;0;0;1;0;0
2020;578;3;603;461.0;1;1;1;8;5;5;0;1;0;0;0
2020;525;7;530;474.0;2;1;1;7;7;7;0;1;0;0;0
2020;792;1;834;551.0;2;1;1;3;7;9;0;0;1;0;1
2020;567;6;583;497.5;1;2;2;4;7;11;0;1;1;0;0
2020;517;6;517;0.0;1;1;1;9;9;7;0;0;0;0;1
2020;706;7;710;696.5;1;1;2;10;10;12;0;0;1;0;0
2020;589;3;616;527.5;1;1;1;5;5;5;0;1;1;0;0
2020;674;5;710;528.5;2;1;1;9;7;8;0;0;1;0;0
2020;678;5;690;620.5;1;2;1;6;11;12;0;0;1;0;1
2020;483;8;483;345.5;2;1;1;9;5;7;0;0;0;0;0
2020;566;4;577;459.0;1;1;2;2;7;11;0;0;1;0;1
2020;437;10;437;424.0;1;3;1;8;7;7;0;0;1;0;0
2020;481;7;481;0.0;2;1;4;2;9;7;0;1;0;0;1
2020;667;3;761;466.0;2;1;1;6;8;8;0;0;1;0;0
2020;771;1;822;533.0;1;1;1;1;7;7;0;0;0;0;0
2020;549;10;549;532.5;1;2;1;7;11;11;0;0;1;0;1
2020;414;6;414;0.0;1;1;1;2;7;7;0;0;1;0;1
2020;549;9;549;320.0;2;1;1;8;11;11;0;0;1;0;0
2020;792;1;850;669.0;1;2;1;9;11;11;0;0;1;0;0
2020;555;5;580;434.0;1;1;1;9;9;7;0;0;1;0;0
2020;587;7;587;498.0;1;1;1;2;11;10;0;0;1;0;0
2020;624;3;670;652.0;2;1;1;1;10;7;0;0;1;0;0
2020;707;2;732;388.5;2;1;1;3;5;6;0;1;0;0;0
2020;706;3;731;541.5;2;1;1;1;9;5;0;0;1;0;0
2020;652;4;708;383.0;1;1;1;1;7;5;0;0;1;0;0
2020;732;1;850;410.0;2;1;1;4;4;4;0;1;0;0;0
2020;656;4;668;0.0;1;1;1;7;7;10;0;0;0;0;1
2020;749;1;772;571.0;2;1;3;2;7;7;0;0;1;0;0
2020;684;6;698;670.5;2;2;1;9;12;12;0;0;1;0;0
2020;738;3;764;605.5;2;1;1;10;10;11;0;0;1;0;1
2020;663;5;670;527.5;2;1;1;9;7;4;0;0;1;0;1
2020;506;8;506;525.5;1;1;1;4;11;7;0;0;1;0;1
2020;749;1;817;453.0;2;2;1;5;9;8;0;0;1;0;0
2020;555;5;555;0.0;2;1;2;8;10;12;0;0;1;0;0
2020;689;3;706;578.5;2;1;1;4;10;8;0;0;0;0;0
2020;609;7;609;528.0;1;1;1;4;9;8;0;0;1;0;1
2020;566;6;585;401.5;2;1;2;3;9;7;0;0;1;0;0
2020;743;1;811;444.0;2;1;1;1;5;7;0;1;0;0;1
2020;792;1;842;458.5;1;1;1;1;5;5;0;0;0;0;0
2020;749;2;769;439.5;2;1;1;4;8;7;0;0;1;0;0
2020;529;6;529;275.0;2;1;1;1;5;7;0;1;0;0;0
2020;764;1;796;637.5;1;1;2;3;7;7;0;0;0;0;1
2020;732;1;830;660.5;2;1;1;7;10;10;0;0;1;0;1
2020;674;2;705;571.5;1;1;1;6;10;7;0;0;1;0;1
2020;479;9;479;422.0;2;1;1;1;5;5;0;0;1;0;0
2020;613;6;619;485.0;2;1;2;4;8;7;0;0;1;0;0
2020;508;4;508;320.5;1;1;1;8;5;7;0;1;0;0;1
2020;609;8;734;390.0;2;1;1;2;5;8;0;0;1;0;0
2020;549;4;576;457.5;2;1;1;7;9;7;0;0;1;0;0
2020;549;4;634;404.0;2;1;1;1;7;10;0;0;1;0;0
2020;646;2;665;623.5;2;1;1;4;9;10;0;0;1;0;1
2020;570;10;570;523.5;2;2;2;9;10;11;0;0;1;0;0
2020;592;4;621;491.5;1;1;1;3;9;5;0;0;0;0;1
2020;538;6;542;352.0;1;2;1;5;9;9;0;0;1;0;0
2020;641;3;679;447.5;2;1;1;3;7;5;0;0;1;0;0
2020;656;6;656;527.5;2;2;1;10;10;11;0;0;1;0;0
