GRADUATION_YEAR;SCORE_NEM;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
1978;559;0.0;2;3;1;9;6;6;1;0;1;1;1
1987;571;496.5;2;1;1;2;4;4;1;1;1;0;0
2020;689;412.0;2;1;1;4;5;5;0;1;0;1;0
2020;616;0.0;2;1;1;1;1;5;0;0;0;1;1
2020;626;359.0;1;1;1;1;7;7;0;0;0;0;0
2020;584;0.0;2;1;1;6;1;1;0;0;0;1;1
1982;641;0.0;2;1;1;10;6;6;1;0;1;1;1
2020;775;473.0;1;1;1;7;5;1;0;1;0;1;0
2020;562;319.0;1;1;1;1;7;7;0;0;0;0;1
1979;743;601.0;2;1;1;5;4;4;1;0;1;0;1
2020;510;0.0;1;1;1;7;5;5;0;0;0;0;1
1988;573;537.0;1;1;1;4;5;6;0;0;0;0;1
2020;700;215.0;2;1;1;8;7;7;0;0;0;1;1
1982;483;475.5;2;1;1;1;4;7;0;0;0;1;0
2020;669;0.0;2;1;2;2;1;1;0;0;0;1;0
2020;590;322.0;2;1;1;3;1;1;0;0;1;0;0
2020;764;410.0;2;1;1;2;5;5;0;0;1;0;0
2020;690;347.5;1;1;1;4;6;7;0;0;1;1;1
1979;456;516.5;2;1;1;3;7;6;0;0;0;0;1
1979;469;620.5;1;1;1;8;11;6;1;1;0;1;1
2020;732;0.0;2;2;1;9;4;7;0;0;0;1;1
2020;510;374.0;1;1;1;1;5;5;0;0;0;0;1
1990;771;0.0;2;2;1;10;11;6;1;0;1;1;0
1980;437;0.0;1;1;1;6;4;5;0;0;0;0;1
1998;472;462.5;2;1;1;1;7;6;1;0;0;1;1
2020;525;366.5;1;1;1;1;1;1;0;1;1;1;1
1985;559;0.0;2;1;2;3;6;6;1;0;0;1;0
2020;700;416.5;1;1;1;6;5;5;0;0;1;1;0
1999;487;435.5;2;1;1;5;6;7;0;0;0;1;1
2020;521;416.5;2;1;2;8;5;1;0;0;1;1;0
2020;732;469.0;1;1;1;5;4;4;0;0;0;1;1
1984;534;0.0;2;1;1;6;6;7;0;0;1;0;0
2020;637;0.0;1;1;1;3;5;7;0;0;1;1;1
2020;562;341.0;2;1;1;1;7;7;0;0;0;0;0
2020;584;407.5;2;1;2;1;4;2;0;0;1;1;1
1980;368;0.0;1;2;1;3;7;6;1;0;0;1;0
1983;364;435.0;1;2;1;9;6;6;0;0;0;1;0
2020;658;383.5;2;1;2;3;1;6;0;0;0;0;1
1982;523;0.0;1;1;1;5;6;6;1;0;1;0;0
1994;598;613.0;1;1;1;3;11;11;1;0;1;0;1
2020;775;0.0;2;1;1;3;5;5;0;0;0;1;0
1980;549;505.5;2;2;1;4;7;7;1;0;0;1;1
2020;722;286.5;2;2;1;8;1;1;0;0;0;0;0
1986;490;586.5;1;2;2;9;2;6;1;0;1;1;0
2020;732;333.5;2;1;1;3;1;1;0;0;0;1;0
2020;626;395.0;1;1;1;1;7;7;0;0;0;0;1
2020;669;389.5;1;1;1;1;7;7;0;0;0;0;1
2020;407;318.0;1;1;1;1;5;5;0;0;0;0;1
1981;501;582.0;1;1;1;2;4;6;1;0;0;0;0
2020;573;0.0;2;1;1;8;1;1;0;0;1;0;1
2020;700;0.0;2;1;1;5;5;6;0;0;0;1;0
2020;652;437.5;1;1;1;1;7;7;0;0;0;0;0
2020;541;518.5;1;1;1;2;5;7;0;0;1;0;1
2020;471;442.0;2;1;1;8;5;6;0;0;1;1;1
2020;626;461.5;2;1;1;3;5;5;0;0;1;0;1
2020;632;442.0;2;1;1;8;4;4;0;0;0;1;1
1980;479;569.0;2;1;1;7;6;5;1;0;0;1;0
2020;373;0.0;1;1;1;8;4;4;0;0;0;0;1
1982;592;0.0;1;1;1;10;6;6;1;0;0;1;1
2020;430;331.0;2;3;1;1;6;6;0;0;1;0;0
2020;391;292.0;1;1;1;4;4;6;0;0;0;1;0
1981;667;826.0;1;2;1;10;8;8;1;0;1;1;0
1992;641;0.0;2;3;1;9;11;11;1;0;1;1;1
2007;675;553.0;1;1;1;1;6;6;1;0;0;0;1
2020;690;0.0;1;1;1;8;1;1;0;0;1;1;1
2020;700;0.0;2;3;1;7;6;4;0;0;0;0;0
1982;544;635.0;2;1;1;9;6;11;1;0;0;1;0
2020;476;0.0;2;1;1;2;1;4;0;0;0;0;0
2020;594;424.5;1;1;2;3;6;6;0;0;1;0;1
2020;584;0.0;1;1;1;10;5;5;0;0;0;0;1
2020;785;369.5;2;1;1;6;7;7;0;0;0;1;1
1982;652;659.0;1;1;1;2;4;4;0;0;0;0;0
1981;696;0.0;2;2;1;10;6;6;1;0;1;0;1
2020;535;385.5;2;1;1;2;1;4;0;0;0;0;1
1995;609;584.0;2;1;1;9;6;6;1;0;1;1;0
2000;433;0.0;2;1;1;3;11;7;0;0;0;1;0
2020;669;0.0;1;1;1;1;7;7;0;0;1;0;1
1984;577;0.0;1;1;1;5;6;4;1;0;0;0;1
1985;391;0.0;1;1;1;8;5;10;0;0;0;1;0
2020;541;0.0;2;1;1;1;7;7;0;0;1;0;0
1988;506;0.0;2;1;1;8;6;11;1;0;1;1;0
1983;674;711.0;2;1;1;10;6;6;1;1;1;1;0
1992;541;569.0;1;1;1;10;11;1;0;0;1;1;0
2020;562;0.0;1;1;1;1;7;7;0;0;0;0;1
1981;603;0.0;1;1;1;5;6;6;1;0;0;0;0
2020;828;421.0;2;2;1;4;7;7;0;0;0;1;0
1983;467;598.5;1;1;1;8;8;11;1;0;1;1;1
1992;410;0.0;2;1;1;8;5;10;1;0;0;1;0
2020;573;391.5;1;1;1;1;7;7;0;0;1;0;0
1981;674;0.0;2;1;1;2;8;4;0;1;1;0;0
2020;690;261.5;2;1;1;6;7;1;0;0;1;0;0
1982;410;398.0;2;1;3;2;4;4;1;0;0;0;0
1981;641;0.0;1;1;1;3;6;8;1;0;0;0;0
1981;699;0.0;2;2;1;10;4;4;1;0;1;1;0
2020;743;322.0;2;1;1;7;5;5;0;0;0;0;0
1989;421;382.0;2;1;1;2;4;4;1;0;0;0;0
1981;631;651.0;1;2;1;8;11;11;1;0;1;1;0
2020;531;334.0;2;1;1;2;5;7;0;0;0;0;1
1983;375;570.5;1;1;1;6;5;6;1;0;1;1;0
1991;456;0.0;1;2;1;3;5;5;0;0;0;1;0
2020;743;449.0;2;1;2;4;7;4;0;0;1;1;0
2020;796;337.0;2;1;1;1;7;7;0;0;0;0;0
2020;700;292.0;2;3;1;6;7;4;0;0;1;1;0
2020;807;0.0;1;1;1;3;5;6;0;0;0;1;0
1983;559;0.0;1;1;1;2;4;4;1;0;0;0;1
2020;817;479.0;2;1;1;2;4;6;0;0;1;0;1
2020;492;356.5;2;1;1;9;4;4;0;0;1;1;1
2020;679;0.0;2;1;1;6;5;5;0;0;0;0;1
2020;531;0.0;1;1;1;1;5;5;0;0;0;0;1
1993;624;689.0;1;1;1;7;4;6;1;0;1;1;1
2020;594;0.0;2;1;2;3;5;7;0;0;0;0;0
2020;464;305.0;1;1;2;9;4;4;0;0;1;1;1
1986;613;0.0;1;2;1;9;6;6;1;0;1;0;1
2020;521;0.0;1;1;1;1;5;5;0;0;0;0;1
1987;534;0.0;2;3;4;10;6;6;1;0;1;1;1
2020;679;0.0;2;4;1;8;1;1;0;0;0;0;1
1985;646;0.0;2;1;1;2;6;6;1;0;0;0;1
2020;481;311.0;2;1;1;1;9;9;0;1;0;0;1
2020;743;429.0;2;1;1;3;7;1;0;0;0;1;0
2020;696;469.5;2;1;1;6;10;7;0;1;1;0;0
2020;487;359.0;1;1;1;1;7;7;0;0;1;0;1
2020;439;384.0;2;1;1;2;10;10;0;1;1;0;0
2020;269;200.0;1;1;1;1;5;5;0;0;0;0;1
2020;722;431.5;2;1;1;3;7;11;0;0;0;0;0
2020;400;0.0;1;1;1;1;7;7;0;1;0;0;0
2020;521;0.0;1;2;1;5;7;7;0;1;0;0;0
1985;403;0.0;1;1;1;1;10;11;1;0;0;1;1
2020;403;290.5;1;1;1;2;5;7;0;0;1;0;0
2020;728;452.5;1;1;1;1;6;6;0;1;0;1;0
2020;407;392.0;1;1;1;1;5;5;0;0;0;0;1
2020;604;397.5;2;1;3;2;9;9;0;1;0;0;1
1991;566;0.0;2;1;1;10;11;11;1;0;1;1;1
2020;510;0.0;1;2;2;3;5;7;0;1;0;0;0
2020;544;0.0;1;1;1;1;5;5;0;0;0;0;0
1997;555;738.0;1;1;1;1;7;7;0;0;0;0;0
1984;824;0.0;2;2;3;8;9;9;1;0;1;1;1
1996;699;0.0;2;1;1;7;11;11;1;0;1;0;0
1984;663;543.0;2;1;2;1;6;6;1;0;0;0;1
2020;700;308.5;2;1;1;1;4;4;0;1;0;0;0
2020;653;463.5;1;1;1;1;7;7;0;1;0;0;0
2020;561;327.0;1;1;1;1;7;7;0;1;1;0;0
1988;559;578.5;1;1;1;3;6;5;0;0;0;0;1
1983;587;612.5;2;1;1;3;4;6;1;0;0;0;0
2020;499;0.0;2;1;1;1;7;7;0;0;0;0;1
1985;695;0.0;1;1;1;7;6;6;1;0;1;0;0
1982;678;0.0;1;1;1;8;4;4;1;0;1;1;0
1985;699;0.0;2;2;2;10;5;6;1;0;0;1;0
2019;705;0.0;1;1;1;1;5;5;0;0;1;0;0
1999;598;590.5;1;1;1;8;7;5;1;0;1;1;0
2020;637;0.0;1;1;1;1;7;7;0;0;0;0;1
1984;685;0.0;2;1;1;2;4;1;0;1;0;0;1
2020;658;0.0;2;1;1;2;7;7;0;0;0;1;0
2020;637;308.0;2;1;1;2;4;6;0;0;1;0;0
2020;743;0.0;1;1;1;1;7;7;0;0;1;0;0
1984;646;0.0;1;1;1;7;4;8;1;0;0;1;1
2020;483;472.0;1;1;1;1;4;1;0;0;1;0;0
1989;555;361.0;2;1;1;4;7;7;1;0;0;0;0
2018;556;513.0;2;1;1;8;6;6;1;0;0;0;0
2020;696;0.0;1;1;1;2;7;7;0;1;1;0;1
1982;479;442.0;2;1;1;6;7;11;1;0;0;1;0
2020;492;398.5;2;1;2;3;6;6;0;0;0;0;0
1983;689;639.0;2;1;1;2;6;8;1;0;0;0;0
1985;538;610.0;1;2;2;9;6;6;1;0;1;1;1
2020;384;0.0;2;2;1;5;7;7;0;0;1;0;1
1985;570;587.0;1;2;2;10;5;5;1;0;1;1;0
2020;437;347.5;1;1;1;1;7;7;0;0;1;0;1
2020;637;318.0;1;1;1;1;7;7;0;0;0;0;1
1982;444;0.0;2;1;2;3;5;4;0;0;0;1;0
2020;497;382.5;1;1;1;1;7;7;0;1;0;0;1
2020;437;369.0;1;1;1;2;6;6;0;0;1;1;0
1984;646;709.0;1;2;1;5;5;5;1;0;0;1;0
2020;521;348.5;1;1;1;1;7;7;0;0;1;0;0
2020;669;339.5;1;2;2;6;6;6;0;0;1;1;1
1995;535;531.5;1;1;1;8;9;6;1;1;1;1;0
2020;510;0.0;2;1;2;2;7;7;0;0;1;0;1
1984;400;492.5;1;1;2;5;7;7;0;1;1;1;0
2020;722;380.0;2;1;1;7;5;5;0;0;1;0;0
2020;594;0.0;1;1;1;2;5;5;0;0;0;0;1
